SOIL_ID,SNAM
1,Emt_Emt_Emt_1_>100cm_<60cm_N_A
2,Emt_Emt_Emt_1_>100cm_<60cm_N_B
3,Emt_Emt_Emt_1_>100cm_<60cm_Y_B
4,Emt_Emt_Emt_1_>100cm_>100cm_N_A
5,Emt_Emt_Emt_1_>100cm_>100cm_N_B
6,Emt_Emt_Emt_1_>100cm_>100cm_Y_B
7,Emt_Emt_Emt_7_>100cm_60-100cm_N_A
8,Emt_Emt_Emt_7_>100cm_60-100cm_N_B
9,Emt_Emt_Emt_7_>100cm_60-100cm_N_D
10,Emt_Emt_Emt_7_>100cm_60-100cm_Y_A
11,Emt_Emt_Emt_7_>100cm_60-100cm_Y_B
12,Emt_Emt_Emt_7_>100cm_60-100cm_Y_D
13,Emt_Emt_Emt_7_>100cm_<60cm_N_A
14,Emt_Emt_Emt_7_>100cm_<60cm_N_B
15,Emt_Emt_Emt_7_>100cm_<60cm_N_C
16,Emt_Emt_Emt_7_>100cm_<60cm_N_D
17,Emt_Emt_Emt_7_>100cm_<60cm_Y_A
18,Emt_Emt_Emt_7_>100cm_<60cm_Y_C
19,Emt_Emt_Emt_7_>100cm_<60cm_Y_D
20,Emt_Emt_Emt_7_>100cm_>100cm_N_A
21,Emt_Emt_Emt_7_>100cm_>100cm_N_B
22,Emt_Emt_Emt_7_>100cm_>100cm_N_C
23,Emt_Emt_Emt_7_>100cm_>100cm_N_D
24,Emt_Emt_Emt_7_>100cm_>100cm_Y_A
25,Emt_Emt_Emt_7_>100cm_>100cm_Y_B
26,Emt_Emt_Emt_7_>100cm_>100cm_Y_C
27,LS1_LS1_S1_4_>100cm_60-100cm_N_A
28,LS1_LS1_S1_4_>100cm_60-100cm_Y_A
29,LS1_LS1_S1_4_>100cm_>100cm_N_A
30,LS1_LS1_S1_4_>100cm_>100cm_Y_A
31,LS1_LS1_S2_4_>100cm_60-100cm_N_A
32,LS1_LS1_S2_4_>100cm_60-100cm_Y_A
33,LS1_LS1_S2_4_>100cm_>100cm_N_A
34,LS1_LS1_S2_4_>100cm_>100cm_Y_A
35,LS1_LS1_SL3_4_>100cm_>100cm_N_A
36,LS1_LS1_SL3_4_>100cm_>100cm_Y_A
37,LS2_LS2_LS2_3_>100cm_>100cm_Y_C
38,LS2_LS2_L_2_>100cm_60-100cm_Y_B
39,LS2_LS2_L_2_>100cm_>100cm_N_B
40,LS2_LS2_L_2_>100cm_>100cm_Y_B
41,LS2_LS2_L_2_>100cm_>100cm_Y_C
42,LS2_LS2_L_3_>100cm_60-100cm_N_B
43,LS2_LS2_L_3_>100cm_>100cm_N_B
44,LS2_LS2_L_3_>100cm_>100cm_Y_B
45,LS2_LS2_L_3_>100cm_>100cm_Y_C
46,LS2_LS2_L_5_>100cm_>100cm_Y_B
47,LS2_LS2_S1_2_>100cm_60-100cm_Y_A
48,LS2_LS2_S1_2_>100cm_>100cm_Y_A
49,LS2_LS2_S1_2_>100cm_>100cm_Y_B
50,LS2_LS2_S1_3_>100cm_<60cm_N_B
51,LS2_LS2_S1_3_>100cm_>100cm_N_A
52,LS2_LS2_S1_3_>100cm_>100cm_Y_C
53,LS2_LS2_S1_4_>100cm_<60cm_N_A
54,LS2_LS2_S1_4_>100cm_>100cm_N_A
55,LS2_LS2_S1_4_>100cm_>100cm_N_B
56,LS2_LS2_S1_4_>100cm_>100cm_N_C
57,LS2_LS2_S1_4_>100cm_>100cm_Y_A
58,LS2_LS2_S1_4_>100cm_>100cm_Y_B
59,LS2_LS2_S1_4_>100cm_>100cm_Y_C
60,LS2_LS2_S3_2_>100cm_60-100cm_N_A
61,LS2_LS2_S3_2_>100cm_60-100cm_Y_B
62,LS2_LS2_S3_2_>100cm_<60cm_N_A
63,LS2_LS2_S3_2_>100cm_>100cm_N_A
64,LS2_LS2_S3_2_>100cm_>100cm_N_C
65,LS2_LS2_S3_2_>100cm_>100cm_Y_B
66,LS2_LS2_S3_3_>100cm_60-100cm_N_A
67,LS2_LS2_S3_3_>100cm_60-100cm_Y_B
68,LS2_LS2_S3_3_>100cm_60-100cm_Y_C
69,LS2_LS2_S3_3_>100cm_>100cm_N_A
70,LS2_LS2_S3_3_>100cm_>100cm_N_B
71,LS2_LS2_S3_3_>100cm_>100cm_N_C
72,LS2_LS2_S3_3_>100cm_>100cm_Y_A
73,LS2_LS2_S3_3_>100cm_>100cm_Y_B
74,LS2_LS2_S3_3_>100cm_>100cm_Y_C
75,LS2_LS2_S3_4_>100cm_60-100cm_N_A
76,LS2_LS2_S3_4_>100cm_60-100cm_N_B
77,LS2_LS2_S3_4_>100cm_>100cm_N_A
78,LS2_LS2_S3_4_>100cm_>100cm_N_B
79,LS2_LS2_S3_4_>100cm_>100cm_Y_A
80,LS2_LS2_S3_4_>100cm_>100cm_Y_B
